Player	From	To	Pos	Ht	Wt	Birth Date	Colleges
Chris Babb	2014	2014	G	6-5	225	February 14, 1990	Penn State, Iowa State
Luke Babbitt	2011	2018	F	6-9	225	June 20, 1989	Nevada
Miloš Babić	1991	1992	C-F	7-0	240	November 23, 1968	Tennessee Technological University
Johnny Bach	1949	1949	F-G	6-2	180	July 10, 1924	Fordham
Dwayne Bacon	2018	2021	G	6-6	221	August 30, 1995	Florida State
Henry Bacon	1973	1973	G	6-3	205	July 5, 1948	Louisville
Ibou Badji	2024	2024	C	7-1	240	October 13, 2002	
Jim Baechtold	1953	1957	F-G	6-4	205	December 9, 1927	Eastern Kentucky University
Dalibor Bagarić	2001	2003	C	7-1	255	February 7, 1980	
John Bagley	1983	1994	G	6-0	185	April 23, 1960	Boston College
Marvin Bagley III	2019	2024	F-C	6-10	235	March 14, 1999	Duke
Amari Bailey	2024	2024	G	6-5	185	February 17, 2004	UCLA
Carl Bailey	1982	1982	C	7-0	210	April 23, 1958	Tuskegee University
Gus Bailey	1975	1980	G-F	6-5	185	February 18, 1951	Texas-El Paso
James Bailey	1980	1988	F-C	6-9	220	May 21, 1957	Rutgers University
Thurl Bailey	1984	1999	F-C	6-11	215	April 7, 1961	NC State
Toby Bailey	1999	2000	G	6-6	213	November 19, 1975	UCLA
Cameron Bairstow	2015	2016	F-C	6-9	250	December 7, 1990	New Mexico
Jimmie Baker	1976	1976	F	6-9	220	December 25, 1953	UNLV, Hawaii
Mark Baker	1999	1999	G	6-1	175	November 11, 1969	Ohio State
Maurice Baker	2005	2005	G	6-1	175	July 28, 1979	Oklahoma State
Norm Baker	1947	1947	G	6-0	180	February 17, 1923	
Ron Baker	2017	2019	G	6-4	220	March 30, 1993	Wichita State
Vin Baker	1994	2006	F-C	6-11	232	November 23, 1971	University of Hartford
Patrick Baldwin Jr.	2023	2024	G-F	6-9	220	November 18, 2002	UW-Milwaukee
Wade Baldwin	2017	2019	G	6-4	200	March 29, 1996	Vanderbilt
Renaldo Balkman	2007	2012	F	6-8	208	July 14, 1984	South Carolina
Cedric Ball	1991	1991	F	6-8	210	April 16, 1968	UNC Charlotte
LaMelo Ball	2021	2024	G	6-7	180	August 22, 2001	
Lonzo Ball	2018	2022	G	6-6	190	October 27, 1997	UCLA
Greg Ballard	1978	1989	F	6-7	215	January 29, 1955	Oregon
Herschel Baltimore	1947	1947	F	6-4	195	June 21, 1921	Penn State
Mo Bamba	2019	2024	C	7-0	231	May 12, 1998	Texas
Paolo Banchero	2023	2024	F	6-10	250	November 12, 2002	Duke
Desmond Bane	2021	2024	G	6-5	215	June 25, 1998	TCU
Gene Banks	1982	1987	F-G	6-7	215	May 15, 1959	Duke
Marcus Banks	2004	2011	G	6-2	200	November 19, 1981	UNLV
Walker Banks	1971	1971	C	6-10	205	August 26, 1947	Western Kentucky
Ken Bannister	1985	1991	F-C	6-9	235	April 1, 1960	Indiana State University, Saint Augustine's College
Mike Bantom	1974	1982	F-C	6-9	200	December 3, 1951	Saint Joseph's
Dalano Banton	2022	2024	G-F	6-9	204	November 7, 1999	Nebraska
Cat Barber	2022	2022	G	6-2	190	July 25, 1994	NC State
John Barber	1957	1957	F	6-6	210	June 27, 1927	California State University, Los Angeles
Leandro Barbosa	2004	2017	G	6-3	194	November 28, 1982	
Steve Bardo	1992	1996	G	6-5	190	April 5, 1968	Illinois
J.J. Barea	2007	2020	G	5-10	180	June 26, 1984	Northeastern University
Andrea Bargnani	2007	2016	F-C	7-0	245	October 26, 1985	
Cliff Barker	1950	1952	G	6-2	185	January 15, 1921	Kentucky
Tom Barker	1977	1979	C-F	6-11	225	March 11, 1955	Minnesota, College of Southern Idaho, Hawaii
Charles Barkley*	1985	2000	F	6-6	252	February 20, 1963	Auburn
Erick Barkley	2001	2002	G	6-1	177	February 21, 1978	St. John's
Don Barksdale*	1952	1955	F-C	6-6	200	March 31, 1923	UCLA
Dominick Barlow	2023	2024	F	6-9	221	May 26, 2003	
Harrison Barnes	2013	2024	F	6-8	225	May 30, 1992	UNC
Harry Barnes	1969	1969	F	6-3	205	July 25, 1945	Northeastern University
Jim Barnes	1965	1971	C-F	6-8	210	April 13, 1941	Texas-El Paso
Marvin Barnes	1975	1980	F-C	6-8	210	July 27, 1952	Providence
Matt Barnes	2004	2017	F	6-7	226	March 9, 1980	UCLA
Scottie Barnes	2022	2024	G-F	6-7	227	August 1, 2001	Florida State
Dick Barnett*	1960	1974	G-F	6-4	190	October 2, 1936	Tennessee State
Jim Barnett	1967	1977	G-F	6-4	170	July 7, 1944	Oregon
Nate Barnett	1976	1976	G	6-3	175	January 29, 1953	University of Akron
John Barnhill	1963	1972	G	6-1	180	March 20, 1938	Tennessee State
Norton Barnhill	1977	1977	G	6-4	205	July 15, 1953	Washington State
Leo Barnhorst	1950	1954	F-G	6-4	190	May 11, 1924	Notre Dame
John Barr	1947	1947	F	6-3	205	August 18, 1918	Penn State
Mike Barr	1973	1977	G	6-3	180	October 19, 1950	Duquesne
Moe Barr	1971	1971	G	6-4	195	June 19, 1944	Duquesne
Andre Barrett	2005	2008	G	5-10	172	February 21, 1982	Seton Hall
Ernie Barrett	1954	1956	G-F	6-3	180	August 27, 1929	Kansas State
Mike Barrett	1970	1973	G	6-2	155	September 5, 1943	West Virginia Tech
RJ Barrett	2020	2024	G-F	6-6	214	June 14, 2000	Duke
Earl Barron	2006	2015	C	7-0	250	August 14, 1981	Memphis
Dana Barros	1990	2004	G	5-11	163	April 13, 1967	Boston College
Brent Barry	1996	2009	G	6-6	185	December 31, 1971	Oregon State
Drew Barry	1998	2000	G	6-5	191	February 17, 1973	Georgia Tech
Jon Barry	1993	2006	G	6-4	195	July 25, 1969	University of the Pacific, Georgia Tech
Rick Barry*	1966	1980	F	6-7	205	March 28, 1944	Miami (FL)
Ed Bartels	1950	1951	F	6-5	195	October 8, 1925	NC State
Vic Bartolome	1972	1972	C	7-0	230	September 29, 1948	Oregon State
Will Barton	2013	2023	G	6-5	181	January 6, 1991	Memphis
Eddie Basden	2006	2006	G	6-5	215	February 15, 1983	UNC Charlotte
Jerry Baskerville	1976	1976	F	6-7	190	November 10, 1951	Temple
Brandon Bass	2006	2017	F	6-8	250	April 30, 1985	LSU
Paris Bass	2022	2022	F	6-8	200	August 29, 1995	Detroit Mercy
Tim Bassett	1974	1980	F-C	6-8	225	April 1, 1951	College of Southern Idaho, Georgia
Charles Bassey	2022	2024	C	6-10	235	October 28, 2000	Western Kentucky
Maceo Baston	2003	2009	F	6-9	215	May 29, 1975	Michigan
Mengke Bateer	2002	2004	C	6-11	290	November 20, 1975	
Billy Ray Bates	1980	1983	G	6-4	210	May 31, 1956	Kentucky State University
Emoni Bates	2024	2024	G	6-10	170	January 28, 2004	Memphis, Eastern Michigan
Keita Bates-Diop	2019	2024	F	6-8	229	January 23, 1996	Ohio State
Esteban Batista	2006	2007	F-C	6-10	270	September 2, 1983	
Mike Batiste	2003	2003	F	6-8	225	November 21, 1977	Arizona State
Tony Battie	1998	2012	C-F	6-11	230	February 11, 1976	Texas Tech
Shane Battier	2002	2014	F	6-8	220	September 9, 1978	Duke
John Battle	1986	1995	G	6-2	175	November 9, 1962	Rutgers University
Kenny Battle	1990	1993	F	6-6	210	October 10, 1964	Northern Illinois, Illinois
Dave Batton	1983	1984	C	6-10	240	March 26, 1956	Notre Dame
Lloyd Batts	1975	1975	G-F	6-4	185	May 9, 1951	Cincinnati
Nicolas Batum	2009	2024	F-G	6-8	230	December 14, 1988	
Johnny Baum	1970	1974	F	6-5	200	June 17, 1946	Peirce College, Temple
Frankie Baumholtz	1947	1947	G	5-10	170	October 7, 1918	Ohio University
Lonny Baxter	2003	2006	F	6-8	260	January 27, 1979	Maryland
Jerryd Bayless	2009	2019	G	6-3	200	August 20, 1988	Arizona
Elgin Baylor*	1959	1972	F	6-5	225	September 16, 1934	College of Idaho, Seattle University
Howard Bayne	1968	1968	F	6-6	235	July 28, 1942	Tennessee
Aron Baynes	2013	2021	C	6-10	260	December 9, 1986	Washington State
Sergei Bazarevich	1995	1995	G	6-2	168	March 16, 1965	
Kent Bazemore	2013	2022	G-F	6-4	195	July 1, 1989	Old Dominion
Darius Bazley	2020	2024	F	6-8	208	June 12, 2000	
Ed Beach	1951	1951	F	6-3	200	January 25, 1929	West Virginia
Bradley Beal	2013	2024	G	6-4	207	June 28, 1993	Florida
Al Beard	1968	1968	C	6-9	200	April 27, 1942	Norfolk State
Butch Beard	1970	1979	G	6-3	185	May 4, 1947	Louisville
Ralph Beard	1950	1951	G	5-10	175	December 2, 1927	Kentucky
Charlie Beasley	1968	1971	G-F	6-5	190	September 23, 1945	SMU
Jerome Beasley	2004	2004	F	6-10	237	May 17, 1980	Midland College, University of North Dakota
John Beasley	1968	1974	F-C	6-9	225	February 5, 1944	Texas A&M
Malik Beasley	2017	2024	G	6-4	187	November 26, 1996	Florida State
Michael Beasley	2009	2019	F	6-9	235	January 9, 1989	Kansas State
Zelmo Beaty*	1963	1975	C	6-9	225	October 25, 1939	Prairie View A&M University
Rodrigue Beaubois	2010	2013	G	6-0	170	February 24, 1988	
MarJon Beauchamp	2023	2024	G	6-6	199	October 12, 2000	Yakima Valley Community College
Byron Beck	1968	1977	C-F	6-9	225	January 25, 1945	Columbia Basin College, Denver
Corey Beck	1996	1999	G	6-1	190	May 27, 1971	South Plains College, Arkansas
Ernie Beck	1954	1961	G-F	6-4	190	December 11, 1931	Penn
Art Becker	1968	1973	F	6-7	205	January 12, 1942	Arizona State
Moe Becker	1947	1947	G-F	6-1	185	February 24, 1917	Duquesne
Bob Bedell	1968	1971	F	6-7	205	June 26, 1944	Stanford
William Bedford	1987	1993	C	7-0	225	December 14, 1963	Memphis
Hank Beenders	1947	1949	C-F	6-6	185	June 2, 1916	Long Island University
Ron Behagen	1974	1980	F-C	6-9	185	January 14, 1951	Minnesota
Elmer Behnke	1952	1952	C	6-7	210	February 3, 1929	Bradley
Marco Belinelli	2008	2020	G-F	6-5	220	March 25, 1986	
Charlie Bell	2002	2011	G	6-3	200	March 12, 1979	Michigan State
Dennis Bell	1974	1976	F	6-5	185	June 2, 1951	Drake University
Jordan Bell	2018	2022	F	6-8	216	January 7, 1995	Oregon
Raja Bell	2001	2012	G	6-5	204	September 19, 1976	Boston University, Florida International University
Troy Bell	2004	2004	G	6-1	180	November 10, 1980	Boston College
Whitey Bell	1960	1961	G	6-0	180	September 13, 1932	NC State
Walt Bellamy*	1962	1975	C	6-11	225	July 24, 1939	Indiana
DeAndre' Bembry	2017	2022	F	6-5	210	July 4, 1994	Saint Joseph's
Irv Bemoras	1954	1957	F-G	6-3	185	November 18, 1930	Illinois
Leon Benbow	1975	1976	G	6-4	185	July 23, 1950	Jacksonville University
Dragan Bender	2017	2020	F	7-0	225	November 17, 1997	
Jonathan Bender	2000	2010	F	6-11	202	January 30, 1981	
Jerrelle Benimon	2015	2015	F	6-8	245	August 1, 1991	Georgetown, Towson University
Benoit Benjamin	1986	2000	C	7-0	250	November 22, 1964	Creighton
Corey Benjamin	1999	2003	G	6-6	200	February 24, 1978	Oregon State
Anthony Bennett	2014	2017	F	6-8	245	March 14, 1993	UNLV
Elmer Bennett	1995	1997	G	6-0	170	February 13, 1970	Notre Dame
Mario Bennett	1996	2000	F	6-6	235	August 1, 1973	Arizona State
Mel Bennett	1976	1982	F	6-7	200	January 4, 1955	Pitt
Spider Bennett	1969	1969	G	6-3	190	August 4, 1943	Winston-Salem State
Tony Bennett	1993	1995	G	6-0	175	June 1, 1969	Green Bay
Winston Bennett	1990	1992	F	6-7	210	February 9, 1965	Kentucky
David Benoit	1992	2001	F	6-8	220	May 9, 1968	Alabama
Keith Benson	2012	2012	C	6-11	240	August 13, 1988	Oakland
Kent Benson	1978	1988	C	6-10	235	December 27, 1954	Indiana
Ben Bentil	2017	2017	F	6-9	235	March 29, 1995	Providence
Gene Berce	1950	1950	G-F	5-11	175	November 22, 1926	Marquette
Gary Bergen	1957	1957	C	6-8	210	July 16, 1932	Utah
Larry Bergh	1970	1970	F	6-8	210	April 2, 1945	Weber State
Jules Bernard	2024	2024	F	6-7	210	January 21, 2000	UCLA
Ricky Berry	1989	1989	F	6-8	205	October 6, 1964	Oregon State, San Jose State
Walter Berry	1987	1989	F	6-8	215	May 14, 1964	St. John's
Dairis Bertāns	2019	2019	G	6-4	200	September 9, 1989	
Dāvis Bertāns	2017	2024	F	6-10	225	November 12, 1992	
Del Beshore	1979	1980	G	5-11	165	November 29, 1956	California University of Pennslyvania
Travis Best	1996	2005	G	5-11	182	July 12, 1972	Georgia Tech
Patrick Beverley	2013	2024	G	6-2	180	July 12, 1988	Arkansas
Saddiq Bey	2021	2024	F	6-7	215	April 9, 1999	Villanova
Tyler Bey	2021	2021	F	6-7	215	February 10, 1998	Colorado
Sim Bhullar	2015	2015	C	7-5	360	December 2, 1992	New Mexico State
Wes Bialosuknia	1968	1968	G	6-2	185	June 8, 1945	UConn
Al Bianchi	1957	1966	G	6-3	185	March 26, 1932	Bowling Green
Hank Biasatti	1947	1947	G	5-11	175	January 14, 1922	Assumption University
Henry Bibby	1973	1981	G	6-1	185	November 24, 1949	UCLA
Mike Bibby	1999	2012	G	6-1	190	May 13, 1978	Arizona
Ed Biedenbach	1969	1969	G	6-1	175	August 12, 1945	NC State
Andris Biedriņš	2005	2014	C	6-11	240	April 2, 1986	
Don Bielke	1956	1956	C	6-7	240	May 10, 1932	Valparaiso
Bob Bigelow	1976	1979	F-G	6-7	215	December 26, 1953	Penn
Lionel Billingy	1975	1975	F-C	6-9	215	August 31, 1952	Duquesne
Chauncey Billups*	1998	2014	G	6-3	202	September 25, 1976	Colorado
Dave Bing*	1967	1978	G	6-3	180	November 24, 1943	Syracuse
Joe Binion	1987	1987	F	6-8	235	March 26, 1961	North Carolina A&T
Khem Birch	2018	2023	C-F	6-9	233	September 28, 1992	Pitt, UNLV
Jabari Bird	2018	2018	G	6-6	198	July 3, 1994	California
Jerry Bird	1959	1959	F	6-6	210	February 2, 1935	Kentucky
Larry Bird*	1980	1992	F	6-9	220	December 7, 1956	Indiana State University
Otis Birdsong	1978	1989	G	6-3	190	December 9, 1955	Houston
Gale Bishop	1949	1949	F	6-3	195	June 4, 1922	Washington State
Goga Bitadze	2020	2024	C	6-11	250	July 20, 1999	
Onuralp Bitim	2024	2024	F	6-6	215	March 31, 1999	
Bismack Biyombo	2012	2024	C-F	6-8	255	August 28, 1992	
Nemanja Bjelica	2016	2022	F	6-10	234	May 9, 1988	
Uwe Blab	1986	1990	C	7-1	252	March 26, 1962	Indiana
Anthony Black	2024	2024	G	6-7	198	January 20, 2004	Arkansas
Charlie Black	1949	1952	F-C	6-5	200	June 15, 1921	Kansas
Leaky Black	2024	2024	F	6-9	205	June 14, 1999	UNC
Norman Black	1981	1981	G	6-5	185	November 12, 1957	Saint Joseph's
Tarik Black	2015	2018	C-F	6-9	250	November 22, 1991	Memphis, Kansas
Tom Black	1971	1971	C	6-10	220	July 9, 1941	South Dakota State
Rolando Blackman	1982	1994	G	6-6	190	February 26, 1959	Kansas State
Alex Blackwell	1993	1993	F	6-6	250	June 27, 1970	Monmouth University
Cory Blackwell	1985	1985	F	6-6	210	March 27, 1963	Wisconsin
James Blackwell	1995	1995	G	6-0	190	February 25, 1968	Dartmouth College
Nate Blackwell	1988	1988	G	6-4	170	February 15, 1965	Temple
DeJuan Blair	2010	2016	F-C	6-7	270	April 22, 1989	Pitt
Steve Blake	2004	2016	G	6-3	172	February 26, 1980	Maryland
Antonio Blakeney	2018	2019	G	6-4	192	October 4, 1996	LSU
Will Blalock	2007	2007	G	6-0	205	September 8, 1983	Iowa State
George Blaney	1962	1962	G	6-1	175	November 12, 1939	Holy Cross
Lance Blanks	1991	1993	G	6-4	190	September 9, 1966	Virginia, Texas
Ricky Blanton	1993	1993	F	6-7	215	April 21, 1966	LSU
Andray Blatche	2006	2014	F	6-11	235	August 22, 1986	
Mookie Blaylock	1990	2002	G	6-0	180	March 20, 1967	Midland College, Oklahoma
Eric Bledsoe	2011	2022	G	6-1	214	December 9, 1989	Kentucky
Keljin Blevins	2021	2022	F	6-4	200	November 24, 1995	Southern Miss, Montana State
Leon Blevins	1951	1951	G	6-2	160	June 25, 1926	Arizona
John Block	1967	1976	F-C	6-9	207	April 16, 1944	USC
Mike Bloom	1948	1949	F-C	6-6	190	January 14, 1915	Temple
Jaron Blossomgame	2019	2019	F	6-8	220	September 16, 1993	Clemson
Corie Blount	1994	2004	F	6-9	240	January 4, 1969	Cincinnati
Mark Blount	2001	2009	C	7-0	230	November 30, 1975	Pitt
Vander Blue	2014	2018	G	6-4	200	July 17, 1992	Marquette
Ray Blume	1982	1982	G	6-4	185	September 23, 1958	Oregon State
Nelson Bobb	1950	1953	G	6-0	170	February 25, 1924	Temple
Tony Bobbitt	2005	2005	G	6-4	190	October 22, 1979	Cincinnati
Bucky Bockhorn	1959	1965	G	6-4	200	July 8, 1933	Dayton
Buddy Boeheim	2023	2024	G	6-6	205	November 11, 1999	Syracuse
Tom Boerwinkle	1969	1978	C	7-0	265	August 23, 1945	Tennessee
Keith Bogans	2004	2014	G-F	6-5	215	May 12, 1980	Kentucky
Bogdan Bogdanović	2018	2024	G	6-5	220	August 18, 1992	
Bojan Bogdanović	2015	2024	G-F	6-7	226	April 18, 1989	
Muggsy Bogues	1988	2001	G	5-3	136	January 9, 1965	Wake Forest
Andrew Bogut	2006	2019	C	7-0	260	November 28, 1984	Utah
Etdrick Bohannon	1998	2001	F	6-9	220	May 29, 1973	Arizona, Tennessee, Auburn University at Montgomery
Bol Bol	2020	2024	F-C	7-3	220	November 16, 1999	Oregon
Manute Bol	1986	1995	C	7-7	200	October 16, 1962	University of Bridgeport
Jonah Bolden	2019	2020	F	6-8	220	January 2, 1996	UCLA
Marques Bolden	2020	2024	C	6-10	249	April 17, 1998	Duke
Bill Bolger	1954	1954	F	6-5	205	August 21, 1931	Georgetown
Leandro Bolmaro	2022	2023	F	6-6	200	September 11, 2000	
Joel Bolomboy	2017	2018	F	6-9	235	January 28, 1994	Weber State
Doug Bolstorff	1958	1958	G	6-4	195	October 29, 1931	Minnesota
George Bon Salle	1962	1962	F	6-8	220	July 1, 1935	Illinois
Phil Bond	1978	1978	G	6-2	175	July 27, 1954	Louisville
Walter Bond	1993	1995	G	6-5	200	February 1, 1969	Minnesota
Jordan Bone	2020	2021	G	6-2	180	November 5, 1997	Tennessee
Dexter Boney	1997	1997	G	6-4	185	April 27, 1970	UNLV
Isaac Bonga	2019	2022	G	6-8	180	November 8, 1999	
Ron Bonham	1965	1968	F	6-5	192	May 31, 1942	Cincinnati
Anthony Bonner	1991	1996	F	6-8	215	June 8, 1968	Saint Louis
Matt Bonner	2005	2016	F	6-10	235	April 5, 1980	Florida
Butch Booker	1970	1970	C	6-10	230	July 20, 1945	Cheyney (PA)
Devin Booker	2016	2024	G	6-6	206	October 30, 1996	Kentucky
Melvin Booker	1996	1997	G	6-2	185	August 20, 1972	Missouri
Trevor Booker	2011	2018	F	6-8	228	November 25, 1987	Clemson
Josh Boone	2007	2010	F-C	6-10	237	November 21, 1984	UConn
Ron Boone	1969	1981	G-F	6-2	200	September 6, 1946	Iowa Western Community College, Clarinda Campus, Idaho State University
Calvin Booth	2000	2009	C	6-11	230	May 7, 1976	Penn State
Keith Booth	1998	1999	F	6-6	226	October 9, 1974	Maryland
Bob Boozer	1961	1971	F	6-8	215	April 26, 1937	Kansas State
Carlos Boozer	2003	2015	F-C	6-9	258	November 20, 1981	Duke
Curtis Borchardt	2004	2005	C	7-0	240	September 13, 1980	Stanford
Jake Bornheimer	1949	1950	F-C	6-5	200	June 29, 1927	Muhlenberg College
Lazaro Borrell	2000	2000	F	6-8	220	September 20, 1972	
Ike Borsavage	1951	1951	C-F	6-8	220	July 25, 1924	Temple
Vince Boryla	1950	1954	F	6-5	210	March 11, 1927	Notre Dame, Denver
Chris Bosh*	2004	2016	F-C	6-11	235	March 24, 1984	Georgia Tech
Jim Bostic	1978	1978	F	6-7	225	January 28, 1953	New Mexico State
Brandon Boston Jr.	2022	2024	G-F	6-7	185	November 28, 2001	Kentucky
Lawrence Boston	1980	1980	F	6-8	225	May 18, 1956	Vincennes University, Maryland
Tom Boswell	1976	1984	F-C	6-9	220	October 2, 1953	South Carolina State, South Carolina
Chris Boucher	2018	2024	F	6-9	200	January 11, 1993	Oregon
James Bouknight	2022	2024	G	6-5	190	September 18, 2000	UConn
Ruben Boumtje-Boumtje	2002	2004	C	7-0	257	May 20, 1978	Georgetown
Jamaree Bouyea	2023	2024	G	6-2	180	June 27, 1999	San Francisco
Don Boven	1950	1953	F-G	6-4	210	March 6, 1925	Western Michigan
Cal Bowdler	2000	2002	F	6-10	245	March 31, 1977	Old Dominion
Brian Bowen	2020	2021	F	6-6	190	October 2, 1998	
Bruce Bowen	1997	2009	F	6-7	185	June 14, 1971	Cal State Fullerton
