Player	From	To	Pos	Ht	Wt	Birth Date	Colleges
Mike D'Antoni	1974	1977	G	6-3	185	May 8, 1951	Marshall
Mike Dabich	1968	1968	C	7-0	242	December 27, 1942	New Mexico State
Ed Dahler	1952	1952	F	6-5	190	January 31, 1926	Duquesne
Quintin Dailey	1983	1992	G	6-3	180	January 22, 1961	San Francisco
Samuel Dalembert	2002	2015	C	6-11	255	May 10, 1981	Seton Hall
Howie Dallmar	1947	1949	F	6-4	200	May 24, 1922	Stanford
Erick Dampier	1997	2012	C	6-11	265	July 14, 1975	Mississippi State
Louie Dampier*	1968	1979	G	6-0	170	November 20, 1944	Kentucky
Bob Dandridge*	1970	1982	F-G	6-6	195	November 15, 1947	Norfolk State
Antonio Daniels	1998	2011	G	6-4	195	March 19, 1975	Bowling Green
Dyson Daniels	2023	2024	G	6-8	199	March 17, 2003	
Erik Daniels	2005	2005	F	6-8	214	April 1, 1982	Kentucky
Lloyd Daniels	1993	1998	G	6-7	205	September 4, 1967	Mount San Antonio College
Marquis Daniels	2004	2013	G-F	6-6	200	January 7, 1981	Auburn
Mel Daniels*	1968	1977	C	6-9	220	July 20, 1944	Southeastern Iowa Community College, West Burlington Campus, New Mexico
Troy Daniels	2014	2020	G	6-4	200	July 15, 1991	VCU
Sasha Danilović	1996	1997	G	6-5	200	February 26, 1970	
Adrian Dantley*	1977	1991	F-G	6-5	208	February 28, 1955	Notre Dame
Pete Darcey	1953	1953	C	6-7	217	March 3, 1930	Oklahoma State
Jimmy Darden	1950	1950	G	6-1	170	June 19, 1922	Denver
Ollie Darden	1968	1970	F-C	6-7	235	July 28, 1944	Michigan
Yinka Dare	1995	1998	C	7-0	265	October 10, 1972	George Washington
Jesse Dark	1975	1975	G	6-5	210	September 2, 1951	VCU
Nate Darling	2021	2021	G	6-6	200	August 30, 1998	UAB, University of Delaware
Rick Darnell	1976	1976	C-F	6-10	215	January 1, 1953	Cypress College, Indiana State University, San Jose State
