Rk	G	2006 Playoffs	Series	Tm	Unnamed: 5	Opp	G#	Unnamed: 8	GS	MP	FG	FGA	FG%	3P	3PA	3P%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	GmSc	+/-
1	1	2006-04-22	EC1	CLE		WAS	1	W (+11)	1	48:00	12	27	.444	1	4	.250	7	11	.636	3	8	11	11	0	0	4	3	32	23.3	+11
2	2	2006-04-25	EC1	CLE		WAS	2	L (-5)	1	43:28	7	25	.280	1	6	.167	11	15	.733	2	7	9	2	2	3	10	5	26	6.7	-2
3	3	2006-04-28	EC1	CLE	@	WAS	3	W (+1)	1	47:37	16	28	.571	3	5	.600	6	9	.667	1	4	5	3	2	0	4	3	41	27.4	+1
4	4	2006-04-30	EC1	CLE	@	WAS	4	L (-10)	1	45:20	13	23	.565	7	12	.583	5	7	.714	1	5	6	5	0	0	7	5	38	23.0	-16
5	5	2006-05-03	EC1	CLE		WAS	5	W (+1)	1	46:07	14	23	.609	0	1	.000	17	18	.944	5	2	7	6	2	0	4	5	45	38.4	-4
6	6	2006-05-05	EC1	CLE	@	WAS	6	W (+1)	1	53:00	15	25	.600	1	6	.167	1	3	.333	0	7	7	7	2	1	5	4	32	22.8	+1
																														
7	7	2006-05-07	ECS	CLE	@	DET	1	L (-27)	1	36:00	9	18	.500	2	5	.400	2	2	1.000	1	3	4	4	0	0	4	3	22	12.2	-31
8	8	2006-05-09	ECS	CLE	@	DET	2	L (-6)	1	47:32	11	23	.478	2	5	.400	6	8	.750	2	12	14	7	0	0	3	4	30	22.8	-4
9	9	2006-05-13	ECS	CLE		DET	3	W (+9)	1	48:00	9	18	.500	1	4	.250	2	2	1.000	0	10	10	10	4	1	4	2	21	21.9	+9
10	10	2006-05-15	ECS	CLE		DET	4	W (+2)	1	48:00	8	23	.348	1	2	.500	5	10	.500	1	7	8	9	2	2	8	3	22	10.4	+2
11	11	2006-05-17	ECS	CLE	@	DET	5	W (+2)	1	46:50	13	30	.433	1	4	.250	5	7	.714	3	2	5	5	2	1	2	3	32	21.1	+2
12	12	2006-05-19	ECS	CLE		DET	6	L (-2)	1	47:50	8	20	.400	1	5	.200	15	18	.833	0	11	11	5	1	1	7	2	32	20.7	-2
13	13	2006-05-21	ECS	CLE	@	DET	7	L (-18)	1	46:45	11	24	.458	0	4	.000	5	8	.625	3	5	8	2	1	0	3	2	27	15.6	-16
Rk	G	2007 Playoffs	Series	Tm		Opp	G#		GS	MP	FG	FGA	FG%	3P	3PA	3P%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	GmSc	+/-
14	1	2007-04-22	EC1	CLE		WAS	1	W (+15)	1	44:19	7	14	.500	0	2	.000	9	11	.818	2	7	9	7	2	0	1	1	23	24.2	+17
15	2	2007-04-25	EC1	CLE		WAS	2	W (+7)	1	45:00	8	22	.364	0	3	.000	11	13	.846	4	4	8	7	1	2	2	2	27	22.5	+12
16	3	2007-04-28	EC1	CLE	@	WAS	3	W (+6)	1	46:02	11	22	.500	3	5	.600	5	7	.714	0	6	6	9	1	0	2	3	30	24.1	+6
17	4	2007-04-30	EC1	CLE	@	WAS	4	W (+7)	1	46:11	8	22	.364	1	5	.200	14	17	.824	3	8	11	7	3	1	2	3	31	27.5	+12
																														
18	5	2007-05-06	ECS	CLE		NJN	1	W (+4)	1	46:01	8	21	.381	1	4	.250	4	6	.667	2	9	11	7	1	1	3	2	21	15.6	+6
19	6	2007-05-08	ECS	CLE		NJN	2	W (+10)	1	45:49	12	24	.500	3	7	.429	9	13	.692	0	1	1	12	3	0	2	2	36	31.3	+8
20	7	2007-05-12	ECS	CLE	@	NJN	3	L (-11)	1	44:08	5	16	.313	1	5	.200	7	7	1.000	0	6	6	12	0	0	2	2	18	16.2	-12
