Player	From	To	Pos	Ht	Wt	Birth Date	Colleges
Bill Gabor	1950	1955	G-F	5-11	170	May 13, 1922	Syracuse
Wenyen Gabriel	2020	2024	F	6-9	205	March 26, 1997	Kentucky
Dan Gadzuric	2003	2012	C	6-11	240	February 2, 1978	UCLA
Daniel Gafford	2020	2025	C-F	6-10	234	October 1, 1998	Arkansas
Deng Gai	2006	2006	F	6-9	250	March 22, 1982	Fairfield
Elmer Gainer	1948	1950	F-C	6-6	195	November 22, 1918	DePaul
Bill Gaines	1969	1969	G	6-4	185	March 10, 1946	Texas A&M University-Commerce
Corey Gaines	1989	1995	G	6-3	195	June 1, 1965	UCLA, Loyola Marymount
Reece Gaines	2004	2006	G	6-6	205	January 7, 1981	Louisville
Smokey Gaines	1968	1968	G	6-1	170	February 27, 1940	LeMoyne-Owen College
Sundiata Gaines	2010	2012	G	6-1	185	April 18, 1986	Georgia
Mike Gale	1972	1982	G	6-4	185	July 18, 1950	Elizabeth City State University
Chad Gallagher	1994	1994	C	6-10	255	May 30, 1969	Creighton
Harry Gallatin*	1949	1958	F-C	6-6	210	April 26, 1927	Truman State University
Gene Gallette	1947	1947	F	6-2	205	February 22, 1919	
Danilo Gallinari	2009	2024	F	6-10	233	August 8, 1988	
Langston Galloway	2015	2022	G	6-1	200	December 9, 1991	Saint Joseph's
Dave Gambee	1959	1970	F	6-6	215	April 16, 1937	Oregon State
Kevin Gamble	1988	1997	F-G	6-5	210	November 13, 1965	Iowa
Bob Gantt	1947	1947	F-C	6-4	205	June 22, 1922	Duke
Jorge Garbajosa	2007	2008	F	6-9	245	December 19, 1977	
Rubén Garcés	2001	2001	F	6-9	245	October 17, 1973	Providence
Alex Garcia	2004	2005	G	6-3	220	March 4, 1980	
Francisco García	2006	2015	F-G	6-7	195	December 31, 1981	Louisville
Chuck Gardner	1968	1968	F	6-8	205	September 30, 1944	Colorado
Earl Gardner	1949	1949	F	6-3	195	September 18, 1923	DePauw University
Ken Gardner	1976	1976	F	6-5	205	September 27, 1949	Utah
Thomas Gardner	2008	2009	G	6-5	225	February 8, 1985	Missouri
Vern Gardner	1950	1952	F-C	6-5	200	May 14, 1925	Utah
Jack Garfinkel	1947	1949	G	6-0	190	June 13, 1918	St. John's
Patricio Garino	2017	2017	G-F	6-6	210	May 17, 1993	George Washington
Darius Garland	2020	2025	G	6-1	192	January 26, 2000	Vanderbilt
Gary Garland	1980	1980	G	6-4	180	October 12, 1957	DePaul
Winston Garland	1988	1995	G	6-2	170	December 19, 1964	Missouri State
Dick Garmaker	1956	1961	G-F	6-3	200	October 29, 1932	Hibbing Community College, Minnesota
Bill Garner	1968	1968	C	6-10	220	June 17, 1940	University of Portland
Chris Garner	1998	2001	G	5-10	156	February 2, 1975	Memphis
Bill Garnett	1983	1986	F	6-9	225	April 22, 1960	Wyoming
Kevin Garnett*	1996	2016	F-C	6-11	240	May 19, 1976	
Marlon Garnett	1999	1999	G	6-2	186	July 3, 1975	Santa Clara
Billy Garrett	2019	2019	G	6-6	213	October 16, 1994	DePaul
Calvin Garrett	1981	1984	F	6-7	190	July 11, 1956	Austin Peay State University, Oral Roberts
Dean Garrett	1997	2002	C	6-10	225	November 27, 1966	Indiana
Diante Garrett	2013	2014	G	6-4	190	November 3, 1988	Iowa State
Dick Garrett	1970	1974	G	6-3	185	January 31, 1947	Southern Illinois
Marcus Garrett	2022	2022	G	6-5	205	November 9, 1998	Kansas
Rowland Garrett	1973	1977	F	6-6	210	July 16, 1950	Florida State
Tom Garrick	1989	1992	G	6-2	185	July 7, 1966	Rhode Island
John Garris	1984	1984	F	6-8	205	June 6, 1959	Michigan, Boston College
Kiwane Lemorris Garris	1998	2000	G	6-2	183	September 24, 1974	Illinois
Pat Garrity	1999	2008	F	6-9	238	August 23, 1976	Notre Dame
Usman Garuba	2022	2024	F	6-8	220	March 9, 2002	
Jim Garvin	1974	1974	F	6-7	200	February 5, 1950	Boston University
Luka Garza	2022	2025	F-C	6-10	235	December 27, 1998	Iowa
Marc Gasol	2009	2021	C	6-11	255	January 29, 1985	
Pau Gasol*	2002	2019	C-F	7-0	250	July 6, 1980	
Frank Gates	1950	1950	G	6-0	160	April 12, 1920	Sam Houston State University
Kaiser Gates	2024	2024	F	6-8	217	November 8, 1996	Xavier
Chris Gatling	1992	2002	F-C	6-10	220	September 3, 1967	Old Dominion
Kenny Gattison	1987	1996	F-C	6-8	225	May 23, 1964	Old Dominion
Rudy Gay	2007	2023	F	6-8	250	August 17, 1986	UConn
Ed Gayda	1951	1951	G-F	6-4	210	May 16, 1927	Washington State
Andrew Gaze	1994	1999	G	6-7	205	July 24, 1965	Seton Hall
Michael Gbinije	2017	2017	G	6-7	200	June 5, 1992	Duke, Syracuse
Reggie Geary	1997	1998	G	6-2	187	August 31, 1973	Arizona
Alonzo Gee	2010	2017	G	6-6	225	May 29, 1987	Alabama
Matt Geiger	1993	2002	C	7-0	243	September 10, 1969	Auburn, Georgia Tech
Mickaël Gelabale	2007	2013	F	6-7	215	May 22, 1983	
Devean George	2000	2010	G-F	6-8	220	August 29, 1977	Augsburg College
Jack George	1954	1961	G	6-2	190	November 13, 1928	La Salle
Keyonte George	2024	2025	G	6-4	185	November 8, 2003	Baylor
Kyshawn George	2025	2025	G	6-7	200	December 12, 2003	Miami (FL)
Paul George	2011	2025	F-G	6-8	220	May 2, 1990	Fresno State
Tate George	1991	1995	G	6-5	190	May 29, 1968	UConn
Marcus Georges-Hunt	2017	2018	G	6-5	216	March 28, 1994	Georgia Tech
Gus Gerard	1975	1981	F-G	6-8	200	July 27, 1953	Virginia
Derrick Gervin	1990	1991	F	6-8	200	March 28, 1963	Texas-San Antonio
George Gervin*	1973	1986	G-F	6-7	180	April 27, 1952	Eastern Michigan
Gorham Getchell	1947	1947	C	6-4	205	August 14, 1920	Temple
John Gianelli	1973	1980	C-F	6-10	220	June 10, 1950	University of the Pacific
Dick Gibbs	1972	1976	F-G	6-5	210	December 20, 1948	Texas-El Paso
Daniel Gibson	2007	2013	G	6-2	190	February 27, 1986	Texas
Dee Gibson	1950	1950	F-G	5-11	175	August 25, 1923	Western Kentucky
Hoot Gibson	1950	1950	F-C	6-5	198	December 5, 1921	Creighton
Jonathan Gibson	2017	2018	G	6-2	185	November 8, 1987	New Mexico State
Mel Gibson	1964	1964	G	6-3	180	December 30, 1940	Western Carolina University
Mike Gibson	1984	1986	F	6-10	205	October 27, 1960	USC Upstate
Taj Gibson	2010	2025	F-C	6-9	232	June 24, 1985	USC
J.R. Giddens	2009	2010	G	6-5	215	February 13, 1985	Kansas, New Mexico
