Player	From	To	Pos	Ht	Wt	Birth Date	Colleges
Rui Hachimura	2020	2024	F	6-8	230	February 8, 1998	Gonzaga
Rudy Hackett	1976	1977	F	6-9	210	May 10, 1953	Syracuse
Hamed Haddadi	2009	2013	C	7-2	254	May 19, 1985	
Jim Hadnot	1968	1968	C-F	6-10	235	January 15, 1940	Providence
Scott Haffner	1990	1991	G	6-3	180	February 2, 1966	Illinois, University of Evansville
Cliff Hagan*	1957	1970	F-G	6-4	210	December 9, 1931	Kentucky
Glenn Hagan	1982	1982	G	6-0	170	June 25, 1955	St. Bonaventure
Tom Hagan	1970	1971	G	6-3	185	January 29, 1947	Vanderbilt
Ashton Hagans	2021	2024	G	6-3	190	July 8, 1999	Kentucky
Robert Hahn	1950	1950	C	6-10	240	August 25, 1925	NC State
Al Hairston	1969	1970	G	6-1	170	December 11, 1945	Bowling Green
Happy Hairston	1965	1975	F	6-7	225	May 31, 1942	NYU
Lindsay Hairston	1976	1976	F-C	6-7	180	December 8, 1951	Michigan State
Malik Hairston	2009	2010	G	6-6	220	February 23, 1987	Oregon
P.J. Hairston	2015	2016	G-F	6-6	230	December 24, 1992	UNC
Marcus Haislip	2003	2010	F	6-10	230	December 22, 1980	Tennessee
Chick Halbert	1947	1951	C	6-9	225	February 27, 1919	West Texas A&M University
Swede Halbrook	1961	1962	C	7-3	235	January 30, 1933	Oregon State
Bruce Hale	1949	1951	G-F	6-1	170	August 30, 1918	Santa Clara
Hal Hale	1968	1968	G	6-1	180	September 21, 1945	Utah State University
Jack Haley	1989	1998	C-F	6-10	240	January 27, 1964	UCLA
Tyrese Haliburton	2021	2024	G	6-5	185	February 29, 2000	Iowa State
Shaler Halimon	1969	1973	G-F	6-5	199	March 30, 1945	Imperial Valley College, Utah State University
Devon Hall	2020	2020	G	6-2	215	July 7, 1995	Virginia
Donta Hall	2020	2021	F	6-9	232	August 7, 1997	Alabama
Jordan Hall	2023	2023	G-F	6-7	215	January 14, 2002	Saint Joseph's
Josh Hall	2021	2021	F	6-9	190	October 8, 2000	
Mike Hall	2007	2007	F	6-8	230	June 5, 1984	George Washington
Tyler Hall	2022	2022	G	6-5	209	March 25, 1997	Montana State
Jeff Halliburton	1972	1973	G	6-5	193	July 3, 1949	Drake University
Darvin Ham	1997	2005	F	6-7	220	July 23, 1973	Texas Tech
Steve Hamer	1997	1997	C	7-0	245	November 13, 1973	Tennessee
Dale Hamilton	1950	1950	G-F	6-0	180	August 16, 1919	Franklin College
Daniel Hamilton	2018	2019	G-F	6-7	195	August 8, 1995	UConn
Dennis Hamilton	1968	1971	F	6-8	210	May 8, 1944	Arizona State
Joe Hamilton	1971	1976	G	5-10	160	July 5, 1948	Southwestern Christian College, University of North Texas
Jordan Hamilton	2012	2016	G-F	6-7	220	October 6, 1990	Texas
Justin Hamilton	2014	2017	C	7-0	260	April 1, 1990	Iowa State, LSU
Ralph Hamilton	1949	1949	G-F	6-1	188	June 10, 1921	Indiana
Richard Hamilton	2000	2013	G-F	6-6	185	February 14, 1978	UConn
Roy Hamilton	1980	1981	G	6-2	180	July 20, 1957	UCLA
Steve Hamilton	1959	1960	F-C	6-6	190	November 30, 1934	Morehead State University
Tang Hamilton	2002	2002	F	6-8	220	May 26, 1978	Mississippi State
Thomas Hamilton	1996	2000	C	7-2	330	April 3, 1975	Pitt
Zendon Hamilton	2001	2006	C-F	6-11	250	April 27, 1975	St. John's
Geert Hammink	1994	1996	C	7-0	262	July 12, 1969	LSU
Julian Hammond	1968	1972	F	6-5	205	May 27, 1943	Tulsa
Tom Hammonds	1990	2001	F	6-9	215	March 27, 1967	Georgia Tech
A.J. Hammons	2017	2017	C	7-0	260	August 27, 1992	Purdue
Joe Hamood	1968	1968	G	6-0	180	September 7, 1943	Houston
R.J. Hampton	2021	2024	G	6-4	175	February 7, 2001	
Darrin Hancock	1995	1997	G-F	6-7	205	November 3, 1971	Kansas
Ben Handlogten	2004	2005	C	6-10	240	November 16, 1973	Western Michigan
Cecil Hankins	1947	1948	G	6-1	175	January 6, 1922	Oklahoma State
Phil Hankinson	1974	1975	F	6-8	195	July 26, 1951	Penn
Dusty Hannahs	2019	2020	G	6-3	210	September 2, 1993	Texas Tech, Arkansas
