Player	From	To	Pos	Ht	Wt	Birth Date	Colleges
Fred LaCour	1961	1963	G-F	6-5	210.0	February 7, 1938	San Francisco
Raef LaFrentz	1999	2008	F-C	6-11	240.0	May 29, 1976	Kansas
Tom LaGarde	1978	1985	C-F	6-10	220.0	February 10, 1955	UNC
Jake LaRavia	2023	2024	F	6-8	235.0	November 3, 2001	Indiana State University, Wake Forest
Rusty LaRue	1998	2004	G	6-2	210.0	December 10, 1973	Wake Forest
Rudy LaRusso	1960	1969	F-C	6-7	220.0	November 11, 1937	Dartmouth College
Zach LaVine	2015	2024	G-F	6-5	200.0	March 10, 1995	UCLA
Skal Labissière	2017	2020	F	6-10	235.0	March 18, 1996	Kentucky
Reggie Lacefield	1969	1969	G-F	6-5	230.0	April 10, 1945	Western Michigan
Edgar Lacey	1969	1969	F	6-6	190.0	August 2, 1944	UCLA
Sam Lacey	1971	1983	C	6-10	235.0	March 28, 1948	New Mexico State
Bob Lackey	1973	1974	G-F	6-5	200.0	April 4, 1949	, Marquette
Wendell Ladner	1971	1975	F	6-5	220.0	October 6, 1948	Southern Miss
Christian Laettner	1993	2005	F-C	6-11	235.0	August 17, 1969	Duke
Oliver Lafayette	2010	2010	G	6-2	190.0	May 6, 1984	Houston
Bill Laimbeer	1981	1994	C	6-11	245.0	May 19, 1957	Notre Dame
Pete Lalich	1947	1947	F	6-2	190.0	June 23, 1920	Ohio University
Bo Lamar	1974	1977	G	6-1	180.0	April 7, 1951	Louisiana
Anthony Lamb	2021	2023	F	6-6	227.0	January 20, 1998	University of Vermont
Doron Lamb	2013	2014	G	6-4	210.0	November 6, 1991	Kentucky
Jeremy Lamb	2013	2022	G-F	6-5	180.0	May 30, 1992	UConn
John Lambert	1976	1982	C-F	6-10	225.0	January 14, 1953	USC
Jeff Lamp	1982	1989	F-G	6-6	195.0	March 9, 1959	Virginia
Maciej Lampe	2004	2006	C	6-11	275.0	February 5, 1985	
Jim Lampley	1987	1987	C	6-10	230.0	July 2, 1960	Vanderbilt, Little Rock
Sean Lampley	2003	2004	F	6-7	227.0	September 3, 1979	California
Jock Landale	2022	2024	C	6-11	256.0	October 25, 1995	Saint Mary's
Carl Landry	2008	2016	F	6-9	248.0	September 19, 1983	Vincennes University, Purdue
Marcus Landry	2010	2010	F	6-7	230.0	November 1, 1985	Wisconsin
Mark Landsberger	1978	1984	F-C	6-8	215.0	May 21, 1955	Minnesota, Arizona State
Jerome Lane	1989	1993	F	6-6	230.0	December 4, 1966	Pitt
Andrew Lang	1989	2000	C	6-11	245.0	June 28, 1966	Arkansas
Antonio Lang	1995	2000	F-G	6-8	205.0	May 15, 1972	Duke
James Lang	2007	2007	C	6-10	285.0	October 17, 1983	
Trajan Langdon	2000	2002	G	6-3	197.0	May 13, 1976	Duke
Keith Langford	2008	2008	G	6-4	215.0	September 15, 1983	Kansas
Romeo Langford	2020	2023	G	6-5	216.0	October 25, 1999	Indiana
Dan Langhi	2001	2004	F	6-11	220.0	November 28, 1977	Vanderbilt
Bob Lanier*	1971	1984	C	6-11	250.0	September 10, 1948	St. Bonaventure
Stu Lantz	1969	1976	G	6-3	175.0	July 13, 1946	Nebraska
Nicolás Laprovíttola	2017	2017	G	6-4	180.0	January 31, 1990	
York Larese	1962	1962	G	6-4	183.0	July 18, 1938	UNC
Shane Larkin	2014	2018	G	5-11	175.0	October 2, 1992	Miami (FL)
John Laskowski	1976	1977	G	6-6	185.0	June 7, 1953	Indiana
Stéphane Lasme	2008	2008	F	6-8	215.0	December 17, 1982	UMass
Dave Lattin	1968	1973	F-C	6-6	225.0	December 23, 1943	Texas-El Paso
Priest Lauderdale	1997	1998	C	7-4	325.0	August 31, 1973	Central State University
Rich Laurel	1978	1978	G	6-6	190.0	July 11, 1954	Hofstra
Harry Laurie	1971	1971	G	6-1	178.0	November 2, 1944	Loyola Chicago, Saint Peter's College
Walt Lautenbach	1950	1950	G-F	6-2	185.0	November 17, 1922	Wisconsin
Joffrey Lauvergne	2015	2018	C-F	6-11	220.0	September 30, 1991	
Tony Lavelli	1950	1951	F	6-3	185.0	July 11, 1926	Yale
Bob Lavoy	1951	1954	F-C	6-7	185.0	June 29, 1926	Illinois, Western Kentucky
Acie Law	2008	2011	G	6-3	195.0	January 25, 1985	Texas A&M
Vic Law	2020	2020	F	6-7	200.0	December 19, 1995	Northwestern
Gani Lawal	2011	2011	F	6-9	234.0	November 7, 1988	Georgia Tech
Edmund Lawrence	1981	1981	C	7-0	228.0	December 8, 1952	McNeese State University
A.J. Lawson	2023	2024	G	6-6	179.0	July 15, 2000	South Carolina
Jason Lawson	1998	1998	C	6-11	240.0	September 2, 1974	Villanova
Ty Lawson	2010	2017	G	5-11	195.0	November 3, 1987	UNC
Jake Layman	2017	2022	F	6-8	209.0	March 7, 1994	Maryland
Mo Layton	1972	1978	G	6-1	180.0	December 24, 1948	Phoenix College, USC
Caris LeVert	2017	2024	G-F	6-6	205.0	August 25, 1994	Michigan
T.J. Leaf	2018	2021	F	6-10	222.0	April 30, 1997	UCLA
Manny Leaks	1969	1974	C-F	6-8	225.0	November 27, 1945	Niagara University
Hal Lear	1957	1957	G	6-0	163.0	January 31, 1935	Temple
Allen Leavell	1980	1989	G	6-1	170.0	May 27, 1957	Oklahoma City University
Jeff Lebo	1990	1990	G	6-2	180.0	October 5, 1966	UNC
