Player	From	To	Pos	Ht	Wt	Birth Date	Colleges
Charles O'Bannon	1998	1999	G-F	6-5	209	February 22, 1975	UCLA
Ed O'Bannon	1996	1997	F	6-8	222	August 14, 1972	UCLA
John O'Boyle	1953	1953	G	6-2	185	March 7, 1928	Colorado State
Bob O'Brien	1948	1949	F	6-4	190	January 26, 1927	Pepperdine
J.J. O'Brien	2016	2016	F	6-7	228	April 8, 1992	San Diego State
Jim O'Brien	1974	1975	F	6-7	200	November 7, 1951	Maryland
Jimmy O'Brien	1972	1975	G	6-1	170	April 9, 1950	Boston College
Ralph O'Brien	1952	1953	G	5-9	160	April 8, 1928	Butler
Johnny O'Bryant	2015	2018	F-C	6-9	257	June 1, 1993	LSU
Patrick O'Bryant	2007	2010	C	7-0	260	June 20, 1986	Bradley
Dermie O'Connell	1949	1950	G	6-0	174	April 13, 1928	Holy Cross
Andy O'Donnell	1950	1950	G	6-1	180	March 10, 1925	Loyola (MD)
Buddy O'Grady	1947	1949	G	5-11	160	January 19, 1920	Georgetown
Fran O'Hanlon	1971	1971	G	6-1	175	August 24, 1948	Villanova
Dick O'Keefe	1948	1951	G-F	6-2	185	September 29, 1923	Santa Clara
Tommy O'Keefe	1951	1951	G	6-2	185	June 3, 1928	Georgetown
Mike O'Koren	1981	1988	F-G	6-7	207	February 7, 1958	UNC
Grady O'Malley	1970	1970	F	6-5	205	April 25, 1948	Manhattan College
Jermaine O'Neal	1997	2014	C-F	6-11	226	October 13, 1978	
Shaquille O'Neal*	1993	2011	C	7-1	325	March 6, 1972	LSU
Royce O'Neale	2018	2024	F	6-4	226	June 5, 1993	Denver, Baylor
Mike O'Neill	1953	1953	F	6-3	210	August 11, 1928	California
Kyle O'Quinn	2013	2020	F-C	6-9	250	March 26, 1990	Norfolk State
Kevin O'Shea	1951	1953	G	6-2	175	July 10, 1925	Notre Dame
Garland O'Shields	1947	1947	G-F	6-1	195	May 23, 1921	Tennessee
Dan O'Sullivan	1991	1996	C	6-10	250	March 3, 1968	Fordham
Charles Oakley	1986	2004	F-C	6-9	225	December 18, 1963	Virginia Union University
Fabricio Oberto	2006	2011	C-F	6-10	245	March 21, 1975	
Daniel Ochefu	2017	2017	C	6-11	245	December 15, 1993	Villanova
Greg Oden	2009	2014	C	7-0	250	January 22, 1988	Ohio State
Lamar Odom	2000	2013	F	6-10	220	November 6, 1979	Rhode Island
Bud Ogden	1970	1971	F	6-6	215	December 29, 1946	Santa Clara
Ralph Ogden	1971	1971	F	6-5	205	January 25, 1948	Santa Clara
Alan Ogg	1991	1993	C	7-2	240	July 5, 1967	UAB
Don Ohl	1961	1970	G	6-3	190	April 18, 1936	Illinois
Tim Ohlbrecht	2013	2013	C	6-11	255	August 30, 1988	
Semi Ojeleye	2018	2022	F	6-6	240	December 5, 1994	Duke, SMU
Emeka Okafor	2005	2018	C-F	6-10	252	September 28, 1982	UConn
Jahlil Okafor	2016	2021	C-F	6-10	270	December 15, 1995	Duke
Chuma Okeke	2021	2024	F	6-6	229	August 18, 1998	Auburn
Elie Okobo	2019	2020	G	6-3	190	October 23, 1997	
Josh Okogie	2019	2024	G	6-4	213	September 1, 1998	Georgia Tech
Onyeka Okongwu	2021	2024	F	6-8	235	December 11, 2000	USC
Isaac Okoro	2021	2024	G-F	6-5	225	January 26, 2001	Auburn
KZ Okpala	2020	2023	F	6-8	215	April 28, 1999	Stanford
Mehmet Okur	2003	2012	C-F	6-11	249	May 26, 1979	
Victor Oladipo	2014	2023	G	6-3	213	May 4, 1992	Indiana
Hakeem Olajuwon*	1985	2002	C	7-0	255	January 21, 1963	Houston
Mark Olberding	1976	1987	F	6-8	225	April 21, 1956	Minnesota
Jawann Oldham	1981	1991	C	7-0	215	July 4, 1957	Seattle University
John Oldham	1950	1951	G	6-3	175	June 22, 1923	Western Kentucky
Frank Oleynick	1976	1977	G	6-2	185	February 20, 1955	Seattle University
John Olive	1979	1980	F	6-7	210	March 1, 1955	Villanova
Brian Oliver	1991	1998	G	6-4	210	June 1, 1968	Georgia Tech
Cameron Oliver	2021	2022	F	6-8	239	July 11, 1996	Nevada
Dean Oliver	2002	2003	G	5-11	180	November 5, 1978	Iowa
Jimmy Oliver	1992	1999	G-F	6-5	205	July 12, 1969	Purdue
Kevin Ollie	1998	2010	G	6-4	195	December 27, 1972	UConn
Gene Ollrich	1950	1950	G	5-11	160	June 30, 1922	Drake University
Michael Olowokandi	1999	2007	C	7-0	269	April 3, 1975	University of the Pacific
Bud Olsen	1963	1970	F-C	6-8	220	July 25, 1940	Louisville
Kelly Olynyk	2014	2024	C-F	6-11	240	April 19, 1991	Gonzaga
Eugene Omoruyi	2022	2024	F	6-7	244	February 14, 1997	Rutgers University, Oregon
Miye Oni	2020	2022	G	6-5	206	August 4, 1997	Yale
Arinze Onuaku	2014	2017	C	6-9	255	July 13, 1987	Syracuse
Chinanu Onuaku	2017	2018	F-C	6-10	245	November 1, 1996	Louisville
Barry Orms	1969	1970	G	6-3	190	May 1, 1946	Saint Louis
Johnny Orr	1950	1950	F	6-3	195	June 10, 1927	Beloit College
Louis Orr	1981	1988	F	6-8	175	May 7, 1958	Syracuse
José Ortiz	1989	1990	F	6-10	225	October 25, 1963	Oregon State
Daniel Orton	2012	2014	C-F	6-10	255	August 6, 1990	Kentucky
Chuck Osborne	1962	1962	F	6-6	210	January 21, 1939	Western Kentucky
Cedi Osman	2018	2024	F	6-7	230	April 8, 1995	
Wally Osterkorn	1952	1955	F-C	6-5	215	July 6, 1928	Illinois
Greg Ostertag	1996	2006	C	7-2	280	March 6, 1973	Kansas
Matt Othick	1993	1993	G	6-2	165	March 16, 1969	Arizona
Don Otten	1950	1953	C	6-11	240	April 18, 1921	Bowling Green
Mac Otten	1950	1950	F-C	6-7	220	December 16, 1925	Bowling Green
Daniel Oturu	2021	2022	F-C	6-8	240	September 20, 1999	Minnesota
Kelly Oubre Jr.	2016	2024	F	6-7	203	December 9, 1995	Kansas
Bo Outlaw	1994	2008	F	6-8	210	April 13, 1971	South Plains College, Houston
Travis Outlaw	2004	2014	F	6-9	210	September 18, 1984	
Claude Overton	1953	1953	G	6-2	195	December 16, 1927	East Central University
Doug Overton	1993	2004	G	6-3	190	August 3, 1969	La Salle
Andre Owens	2006	2008	G	6-4	200	October 31, 1980	Indiana, Houston
Billy Owens	1992	2001	F-G	6-8	220	May 1, 1969	Syracuse
Chris Owens	2003	2003	F	6-7	245	March 1, 1979	Tulane, Texas
Eddie Owens	1978	1978	F	6-7	210	December 26, 1953	UNLV
Jim Owens	1974	1975	F	6-5	200	May 1, 1950	Arizona State
Keith Owens	1992	1992	F	6-7	225	May 31, 1969	UCLA
Larry Owens	2011	2012	F	6-7	210	January 8, 1983	Oral Roberts
Red Owens	1950	1952	G-F	6-3	185	September 2, 1925	Baylor
Tariq Owens	2020	2020	F	6-10	205	June 30, 1995	Tennessee, St. John's, Texas Tech
Tom Owens	1972	1983	C-F	6-10	215	June 28, 1949	South Carolina
Ray Owes	1997	1997	F	6-9	224	December 11, 1972	Arizona
Olumide Oyedeji	2001	2003	C	6-10	240	May 11, 1981	
