Rk	G	2021 Playoffs	Series	Tm	Unnamed: 5	Opp	G#	Unnamed: 8	GS	MP	FG	FGA	FG%	3P	3PA	3P%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	GmSc	+/-
1	1	2021-05-23	EC1	WAS	@	PHI	1	L (-7)	0	20:01	6	6	1.000	0	0		0	0		2	4	6	2	0	1	0	5	12	12.9	+14
2	2	2021-05-26	EC1	WAS	@	PHI	2	L (-25)	0	20:00	3	4	.750	0	0		5	9	.556	4	2	6	1	1	1	1	1	11	12.2	-1
3	3	2021-05-29	EC1	WAS		PHI	3	L (-29)	0	22:23	6	8	.750	0	0		4	4	1.000	5	1	6	0	1	1	0	3	16	17.1	-8
4	4	2021-05-31	EC1	WAS		PHI	4	W (+8)	1	26:00	4	4	1.000	0	0		4	7	.571	2	2	4	0	1	5	0	3	12	14.9	+9
5	5	2021-06-02	EC1	WAS	@	PHI	5	L (-17)	1	28:44	3	4	.750	0	0		2	4	.500	1	6	7	0	2	2	2	5	8	7.5	-7
Rk	G	2024 Playoffs	Series	Tm		Opp	G#		GS	MP	FG	FGA	FG%	3P	3PA	3P%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	GmSc	+/-
6	1	2024-04-21	WC1	DAL	@	LAC	1	L (-12)	1	14:03	1	4	.250	0	0		1	2	.500	0	0	0	0	0	1	1	2	3	-0.9	-8
7	2	2024-04-23	WC1	DAL	@	LAC	2	W (+3)	1	9:29	0	3	.000	0	0		0	0		0	1	1	1	0	0	0	2	0	-1.9	-8
8	3	2024-04-26	WC1	DAL		LAC	3	W (+11)	1	25:38	4	5	.800	0	0		0	0		3	1	4	0	2	3	0	1	8	12.2	+9
9	4	2024-04-28	WC1	DAL		LAC	4	L (-5)	1	18:32	1	4	.250	0	0		3	4	.750	2	3	5	2	0	0	2	1	5	3.5	-7
10	5	2024-05-01	WC1	DAL	@	LAC	5	W (+30)	1	19:04	2	4	.500	0	0		4	6	.667	1	4	5	0	1	1	0	0	8	8.8	+8
11	6	2024-05-03	WC1	DAL		LAC	6	W (+13)	1	22:28	5	8	.625	0	0		3	3	1.000	4	2	6	0	0	0	1	3	13	10.6	+17
																														
12	7	2024-05-07	WCS	DAL	@	OKC	1	L (-22)	1	27:04	5	12	.417	0	0		6	8	.750	5	6	11	1	0	5	1	3	16	16.1	-2
13	8	2024-05-09	WCS	DAL	@	OKC	2	W (+9)	1	26:45	4	6	.667	0	0		5	9	.556	2	5	7	2	1	1	3	2	13	11.0	-8
14	9	2024-05-11	WCS	DAL		OKC	3	W (+4)	1	19:31	4	5	.800	0	0		0	2	.000	1	4	5	3	0	1	1	1	8	8.6	-8
15	10	2024-05-13	WCS	DAL		OKC	4	L (-4)	1	22:43	4	7	.571	0	0		2	4	.500	1	7	8	0	0	3	0	0	10	10.8	-5
16	11	2024-05-15	WCS	DAL	@	OKC	5	W (+12)	1	24:48	4	4	1.000	0	0		1	2	.500	1	6	7	1	0	1	1	3	9	9.1	-10
17	12	2024-05-18	WCS	DAL		OKC	6	W (+1)	1	18:30	4	7	.571	0	0		2	4	.500	4	3	7	1	0	1	1	0	10	10.0	-25
																														
18	13	2024-05-22	WCF	DAL	@	MIN	1	W (+3)	1	21:07	5	9	.556	0	0		0	0		4	5	9	0	0	1	2	2	10	7.9	-15
19	14	2024-05-24	WCF	DAL	@	MIN	2	W (+1)	1	21:05	8	10	.800	0	0		0	2	.000	1	4	5	0	0	5	0	2	16	16.0	-3
20	15	2024-05-26	WCF	DAL		MIN	3	W (+9)	1	28:49	2	4	.500	0	0		1	1	1.000	0	3	3	1	0	3	3	4	5	2.1	+10
21	16	2024-05-28	WCF	DAL		MIN	4	L (-5)	1	31:21	6	6	1.000	0	0		0	0		2	6	8	1	1	3	0	3	12	16.0	-1
22	17	2024-05-30	WCF	DAL	@	MIN	5	W (+21)	1	20:13	3	3	1.000	0	0		5	6	.833	2	7	9	0	0	1	2	5	11	9.9	+26
																														
23	18	2024-06-06	FIN	DAL	@	BOS	1	L (-18)	1	14:19	3	3	1.000	0	0		2	2	1.000	3	0	3	1	1	0	0	0	8	10.9	-10
24	19	2024-06-09	FIN	DAL	@	BOS	2	L (-7)	1	22:43	6	9	.667	0	0		1	4	.250	2	7	9	0	0	1	0	0	13	12.1	0
25	20	2024-06-12	FIN	DAL		BOS	3	L (-7)	1	16:17	3	3	1.000	0	0		0	0		1	2	3	1	0	1	0	2	6	7.0	-11
26	21	2024-06-14	FIN	DAL		BOS	4	W (+38)	1	9:53	1	2	.500	0	0		5	6	.833	1	3	4	0	0	1	1	1	7	6.5	+12
27	22	2024-06-17	FIN	DAL	@	BOS	5	L (-18)	1	10:54	3	5	.600	0	0		0	0		2	1	3	0	0	0	0	1	6	5.0	-7
