Player	From	To	Pos	Ht	Wt	Birth Date	Colleges
Joe Pace	1977	1978	C	6-10	220	December 18, 1953	Coppin State University
Zaza Pachulia	2004	2019	C	6-11	270	February 10, 1984	
Robert Pack	1992	2004	G	6-2	180	February 3, 1969	USC
Wayne Pack	1975	1975	G	6-0	165	July 5, 1950	Tennessee Technological University
Gerald Paddio	1991	1994	F-G	6-7	205	April 21, 1965	UNLV
Scott Padgett	2000	2007	F	6-9	240	April 19, 1976	Kentucky
Dana Pagett	1972	1972	G	6-2	180	March 29, 1949	USC
Jaysean Paige	2022	2022	G	6-3	205	July 30, 1994	College of Southern Idaho, Moberly Area Community College, West Virginia
Marcus Paige	2018	2018	G	6-1	175	September 11, 1993	UNC
Fred Paine	1949	1949	F	6-5	210	December 7, 1925	Westminster College of Pennsylvania
Milt Palacio	2000	2006	G	6-3	195	February 7, 1978	Midland College, Colorado State
Togo Palazzi	1955	1960	F-G	6-4	205	August 8, 1932	Holy Cross
Bud Palmer	1947	1949	F-C	6-4	180	September 14, 1921	Princeton
Errol Palmer	1968	1968	F	6-5	195		DePaul
Jim Palmer	1959	1961	F-C	6-8	224	June 8, 1933	Dayton
Trayvon Palmer	2022	2022	G	6-6	200	November 13, 1994	North Dakota State College of Science, Chicago State
Walter Palmer	1991	1993	C-F	7-1	215	October 23, 1968	Dartmouth College
Kevin Pangos	2022	2022	G	6-2	179	January 26, 1993	Gonzaga
Andy Panko	2001	2001	F	6-9	222	November 27, 1977	Lebanon Valley College
Georgios Papagiannis	2017	2018	C	7-1	240	July 3, 1997	
Kostas Papanikolaou	2015	2016	F	6-8	225	July 31, 1990	
Jannero Pargo	2003	2015	G	6-1	175	October 22, 1979	Arkansas
Jeremy Pargo	2012	2020	G	6-2	219	March 17, 1986	Gonzaga
Easy Parham	1949	1951	F-G	6-3	200	December 27, 1921	Texas Wesleyan University
Robert Parish*	1977	1997	C	7-1	230	August 30, 1953	Centenary (LA)
Med Park	1956	1960	G-F	6-2	205	April 11, 1933	Missouri
Anthony Parker	1998	2012	G	6-6	215	June 19, 1975	Bradley
Jabari Parker	2015	2022	F	6-8	245	March 15, 1995	Duke
Smush Parker	2003	2008	G	6-4	190	June 1, 1981	Fordham
Sonny Parker	1977	1982	F-G	6-6	200	March 22, 1955	Texas A&M
Tony Parker*	2002	2019	G	6-2	185	May 17, 1982	
Barry Parkhill	1974	1976	G	6-4	185	May 10, 1951	Virginia
Jack Parkinson	1950	1950	G	6-0	174	March 4, 1924	Kentucky
Charley Parks	1969	1969	F	6-5	210		Idaho State University
Cherokee Parks	1996	2004	C-F	6-11	235	October 11, 1972	Duke
Rich Parks	1968	1968	F	6-7	235	October 28, 1943	Saint Louis
Jack Parr	1959	1959	C	6-9	220	March 13, 1936	Kansas State
Doyle Parrack	1947	1947	F-G	6-0	165	December 6, 1921	Oklahoma State
Charlie Parsley	1950	1950	G	6-2	175	October 13, 1925	Western Kentucky
Chandler Parsons	2012	2020	F	6-9	230	October 25, 1988	Florida
Eric Paschall	2020	2022	F	6-6	255	November 4, 1996	Fordham, Villanova
Anžejs Pasečņiks	2020	2021	C	7-1	229	December 20, 1995	
Žarko Paspalj	1990	1990	F	6-9	215	March 27, 1966	
Marty Passaglia	1947	1949	G	6-1	170	April 22, 1919	Santa Clara
George Pastushok	1947	1947	G	6-1	195	July 13, 1922	St. John's
Myles Patrick	1981	1981	F	6-8	220	November 19, 1954	Auburn
Stan Patrick	1950	1950	F-G	6-2	185	May 5, 1922	Illinois
Andrae Patterson	1999	2000	F	6-9	238	November 12, 1975	Indiana
George Patterson	1968	1968	C-F	6-8	230	November 26, 1939	Toledo
Lamar Patterson	2016	2017	G-F	6-5	225	August 12, 1991	Pitt
Patrick Patterson	2011	2021	F	6-8	235	March 14, 1989	Kentucky
Ruben Patterson	1999	2008	F	6-5	224	July 31, 1975	Cincinnati
Steve Patterson	1972	1976	C	6-9	225	June 24, 1948	UCLA
Tom Patterson	1973	1974	F	6-6	220	October 15, 1948	Ouachita Baptist University
Worthy Patterson	1958	1958	G	6-2	175	June 17, 1931	UConn
Justin Patton	2018	2021	C	6-11	241	June 14, 1997	Creighton
Brandon Paul	2018	2018	G	6-4	200	April 30, 1991	Illinois
Chris Paul	2006	2024	G	6-0	175	May 6, 1985	Wake Forest
Charlie Paulk	1969	1972	F-C	6-8	219	June 14, 1946	Northeastern State University
Jerry Paulson	1958	1958	G	6-2	185	July 21, 1935	Manhattan College
Billy Paultz	1971	1985	C-F	6-11	235	July 30, 1948	Cameron University, St. John's
Sasha Pavlović	2004	2013	G-F	6-8	220	November 15, 1983	
Jim Paxson	1957	1958	F-G	6-6	200	December 19, 1932	Dayton
Jim Paxson	1980	1990	G-F	6-6	200	July 9, 1957	Dayton
John Paxson	1984	1994	G	6-2	185	September 29, 1960	Notre Dame
Johnny Payak	1950	1953	G-F	6-4	174	November 20, 1926	Bowling Green
Adreian Payne	2015	2018	F-C	6-10	237	February 19, 1991	Michigan State
Cameron Payne	2016	2024	G	6-3	183	August 8, 1994	Murray State
Kenny Payne	1990	1993	F-G	6-8	195	November 25, 1966	Louisville
Tom Payne	1972	1972	C	7-2	240	November 19, 1950	Kentucky
Elfrid Payton	2015	2022	G	6-3	195	February 22, 1994	Louisiana
Gary Payton*	1991	2007	G	6-4	180	July 23, 1968	Oregon State
Gary Payton II	2017	2024	G	6-2	190	December 1, 1992	Oregon State
Mel Payton	1952	1953	F-G	6-4	185	July 16, 1926	Tulane
George Pearcy	1947	1947	G	6-1	165	July 2, 1919	Indiana State University
Henry Pearcy	1947	1947	G	6-1	170	July 21, 1922	Indiana State University
Oleksiy Pecherov	2008	2010	C	7-0	232	December 8, 1985	
Wiley Peck	1980	1980	G	6-7	220	September 15, 1957	Mississippi State
Rich Peek	1968	1968	C	6-11	230	October 28, 1943	Florida, Louisiana Tech
Anthony Peeler	1993	2005	G	6-4	208	November 25, 1969	Missouri
George Peeples	1968	1973	C-F	6-7	190	October 30, 1943	Iowa
Nikola Peković	2011	2016	C	6-11	307	January 3, 1986	
Jake Pelkington	1949	1949	C-F	6-6	220	January 3, 1916	Manhattan College
Norvel Pelle	2020	2022	F-C	6-10	231	February 3, 1993	
Sam Pellom	1980	1983	F-C	6-9	225	October 2, 1951	Buffalo
Mike Penberthy	2001	2002	G	6-3	185	November 29, 1974	Master's College
Jerry Pender	1974	1974	G	6-2	185	February 12, 1950	Merced College, Fresno State
Desmond Penigar	2004	2004	F	6-7	245	July 16, 1981	Utah State University
Kirk Penney	2004	2005	G	6-5	220	November 23, 1980	Wisconsin
Mike Peplowski	1994	1996	C	6-10	270	October 15, 1970	Michigan State
Will Perdue	1989	2001	C	7-0	240	August 29, 1965	Vanderbilt
Mãozinha Pereira	2024	2024	F	6-8	177	August 28, 2000	
Kendrick Perkins	2004	2018	C	6-10	270	November 10, 1984	
Sam Perkins	1985	2001	F-C	6-9	235	June 14, 1961	UNC
Warren Perkins	1950	1951	G-F	6-3	190	February 2, 1922	Tulane
Kosta Perović	2008	2008	C	7-2	240	February 19, 1985	
London Perrantes	2018	2018	G	6-2	200	October 3, 1994	Virginia
Aulcie Perry	1975	1975	C	6-10	210	July 3, 1950	Bethune-Cookman College
Curtis Perry	1971	1978	F	6-7	220	September 13, 1948	Missouri State
Elliot Perry	1992	2002	G	6-0	150	March 28, 1969	Memphis
Reggie Perry	2021	2022	F-C	6-8	250	March 21, 2000	Mississippi State
Ron Perry	1968	1970	G	6-3	190	December 29, 1943	Virginia Tech
Tim Perry	1989	1996	F-C	6-9	200	June 4, 1965	Temple
Chuck Person	1987	2000	F	6-8	220	June 27, 1964	Auburn
Wesley Person	1995	2005	G	6-6	195	March 28, 1971	Auburn
Alec Peters	2018	2018	F	6-9	232	April 13, 1995	Valparaiso
Jim Petersen	1985	1992	F-C	6-10	235	February 22, 1962	Minnesota
Loy Petersen	1969	1970	G	6-5	205	July 26, 1945	Oregon State
Bob Peterson	1954	1956	F	6-5	210	January 25, 1932	Oregon
Drew Peterson	2024	2024	G	6-9	205	November 9, 1999	Rice University, USC
Ed Peterson	1950	1951	C	6-9	220	June 27, 1924	Cornell
Mel Peterson	1964	1970	G-F	6-4	185	March 23, 1938	Wheaton College
Morris Peterson	2001	2011	F	6-7	218	August 26, 1977	Michigan State
Geoff Petrie	1971	1976	G	6-4	190	April 17, 1948	Princeton
Johan Petro	2006	2013	C	7-0	247	January 27, 1986	
Dražen Petrović*	1990	1993	G	6-5	195	October 22, 1964	
Filip Petrušev	2024	2024	F-C	6-11	234	April 15, 2000	Gonzaga
