Player	From	To	Pos	Ht	Wt	Birth Date	Colleges
Arvydas Sabonis*	1996	2003	C	7-3	279	December 19, 1964	
Domantas Sabonis	2017	2024	C-F	6-10	240	May 3, 1996	Gonzaga
Robert Sacre	2013	2016	C	7-0	270	June 6, 1989	Gonzaga
Ed Sadowski	1947	1950	C	6-5	240	July 11, 1915	Seton Hall
Kenny Sailors	1947	1951	G	5-10	175	January 14, 1921	Wyoming
John Salley	1987	2000	F-C	6-11	230	May 16, 1964	Georgia Tech
John Salmons	2003	2015	G	6-7	210	December 12, 1979	Miami (FL)
Al Salvadori	1968	1968	F	6-9	220	May 6, 1945	South Carolina
Kevin Salvadori	1997	1998	C	7-0	231	December 30, 1970	UNC
Soumaila Samake	2001	2003	C	7-0	230	March 18, 1978	
Luka Šamanić	2020	2024	F	6-10	227	January 9, 2000	
Cheikh Samb	2008	2009	C	7-1	245	October 22, 1984	
Brandon Sampson	2019	2019	G	6-5	184	May 1, 1997	LSU
JaKarr Sampson	2015	2021	G-F	6-7	214	March 20, 1993	St. John's
Jamal Sampson	2003	2007	F-C	6-11	235	May 15, 1983	California
Ralph Sampson*	1984	1992	C-F	7-4	228	July 7, 1960	Virginia
Jermaine Samuels	2024	2024	F	6-7	230	November 13, 1998	Villanova
Samardo Samuels	2011	2013	F	6-9	260	January 9, 1989	Louisville
Pepe Sánchez	2001	2003	G	6-4	195	May 8, 1977	Temple
Al Sanders	1973	1973	F	6-7	240	January 1, 1950	LSU
Frankie Sanders	1979	1981	F-G	6-6	200	January 23, 1957	Southern University and A&M College
Jeff Sanders	1990	1993	F	6-8	225	January 14, 1966	Georgia Southern University
Larry Sanders	2011	2017	C-F	6-11	235	November 21, 1988	VCU
Melvin Sanders	2006	2006	G-F	6-5	210	January 3, 1981	Seward County Community College, Oklahoma State
Mike Sanders	1983	1993	F-G	6-6	210	May 7, 1960	UCLA
Tom Sanders*	1961	1973	F	6-6	210	November 8, 1938	NYU
Ron Sanford	1972	1972	F	6-9	215	June 11, 1946	New Mexico
Adama Sanogo	2024	2024	F	6-9	245	February 12, 2002	UConn
Daniel Santiago	2001	2005	C	7-1	256	June 24, 1976	New Mexico, Saint Vincent College
Bob Santini	1956	1956	F	6-5	190	February 17, 1935	Iona College
Gui Santos	2024	2024	F	6-8	209	June 22, 2002	
Wayne Sappleton	1985	1985	F	6-9	215	November 17, 1960	Loyola Chicago
Dario Šarić	2017	2024	F-C	6-10	225	April 8, 1994	
Olivier Sarr	2022	2024	C	7-0	237	February 20, 1999	Wake Forest, Kentucky
Jason Sasser	1997	1999	F	6-7	225	January 13, 1974	Texas Tech
Jeryl Sasser	2002	2003	G	6-6	200	February 13, 1979	SMU
Marcus Sasser	2024	2024	G	6-2	195	September 21, 2000	Houston
Tomáš Satoranský	2017	2022	G	6-7	210	October 30, 1991	
Kenny Satterfield	2002	2003	G	6-2	186	April 10, 1981	Cincinnati
Pep Saul	1950	1955	G-F	6-2	185	February 16, 1924	Seton Hall
Woody Sauldsberry	1958	1966	F-C	6-7	220	July 11, 1934	Texas Southern
Glynn Saulters	1969	1969	G	6-2	175	February 10, 1945	Louisiana-Monroe
Fred Saunders	1975	1978	F	6-7	210	June 13, 1951	Syracuse
Don Savage	1952	1957	F-G	6-3	205	April 9, 1928	LeMoyne College
Predrag Savović	2003	2003	G	6-6	225	May 21, 1976	UAB, Hawaii
Alan Sawyer	1951	1951	F	6-5	195	January 1, 1928	UCLA
Brian Scalabrine	2002	2012	F	6-9	241	March 18, 1978	USC
Alex Scales	2006	2006	G	6-4	185	July 3, 1978	Oregon
DeWayne Scales	1981	1984	F	6-8	208	December 28, 1958	LSU
Frank Schade	1973	1973	G	6-1	170	January 22, 1950	University of Wisconsin-Eau Claire
Ben Schadler	1948	1948	F	6-0	185	March 9, 1924	Northwestern
Herm Schaefer	1949	1950	G-F	6-0	175	December 20, 1918	Indiana
Billy Schaeffer	1974	1976	F	6-5	200	December 11, 1951	St. John's
Bob Schafer	1956	1957	G	6-3	195	March 29, 1933	Villanova
Jordan Schakel	2022	2023	F	6-6	200	June 13, 1998	San Diego State
Ben Scharnus	1947	1949	F	6-2	173	December 11, 1917	Seton Hall
Marv Schatzman	1950	1950	F	6-5	200	February 18, 1927	Saint Louis
Fred Schaus	1950	1954	F	6-5	205	June 30, 1925	West Virginia
Danny Schayes	1982	1999	C-F	6-11	235	May 10, 1959	Syracuse
Dolph Schayes*	1950	1964	F-C	6-8	220	May 19, 1928	NYU
Ossie Schectman	1947	1947	G	6-0	175	March 30, 1919	Long Island University
Steve Scheffler	1991	1997	C-F	6-9	250	September 3, 1967	Purdue
Tom Scheffler	1985	1985	C	6-11	240	October 27, 1954	Purdue
Dave Schellhase	1967	1968	G	6-3	205	October 14, 1944	Purdue
Luke Schenscher	2006	2007	C	7-1	255	December 31, 1982	Georgia Tech
Herb Scherer	1951	1952	C	6-9	212	December 21, 1928	Long Island University
Dwayne Schintzius	1991	1999	C	7-1	260	October 14, 1968	Florida
Dale Schlueter	1969	1978	C	6-10	225	November 12, 1945	Colorado State
Otto Schnellbacher	1949	1949	F-G	6-4	185	April 15, 1923	Kansas
Dick Schnittker	1951	1958	F	6-5	200	May 27, 1928	Ohio State
Russ Schoene	1983	1989	F-C	6-10	210	April 16, 1960	Chattanooga
Admiral Schofield	2020	2024	G-F	6-5	241	March 30, 1997	Tennessee
Dave Scholz	1970	1970	F	6-8	220	April 12, 1948	Illinois
Milt Schoon	1947	1950	C	6-7	230	February 25, 1922	Valparaiso
Detlef Schrempf	1986	2001	F-C	6-10	235	January 21, 1963	Washington
Dennis Schröder	2014	2024	G	6-1	172	September 15, 1993	
Howie Schultz	1950	1953	C-F	6-6	200	July 3, 1922	Hamline University
Dick Schulz	1947	1950	F-G	6-2	192	January 3, 1917	Wisconsin
Roger Schurig	1968	1968	G	6-3	185	April 3, 1942	Vanderbilt
John Schweitz	1985	1987	G	6-6	210	April 19, 1960	Richmond
Luis Scola	2008	2017	F	6-9	240	April 30, 1980	
Fred Scolari	1947	1955	G	5-10	180	March 1, 1922	San Francisco
Alvin Scott	1978	1985	F-G	6-7	185	September 14, 1955	Oral Roberts
Brent Scott	1997	1997	F-C	6-10	250	June 15, 1971	Rice University
Byron Scott	1984	1997	G	6-3	195	March 28, 1961	Arizona State
Charlie Scott*	1971	1980	G-F	6-5	175	December 15, 1948	UNC
Dennis Scott	1991	2000	F	6-8	229	September 5, 1968	Georgia Tech
James Scott	1997	1997	F	6-6	180	June 6, 1972	St. John's
Mike Scott	2013	2021	F	6-7	237	July 16, 1988	Virginia
Ray Scott	1962	1972	F-C	6-9	215	July 12, 1938	New York City College of Technology, University of Portland
Shawnelle Scott	1997	2002	C	6-10	250	June 16, 1972	St. John's
Tre Scott	2022	2022	F	6-8	225	November 25, 1996	Cincinnati
