Player	From	To	Pos	Ht	Wt	Birth Date	Colleges
Žan Tabak	1995	2001	C	7-0	245	June 15, 1970	
Yuta Tabuse	2005	2005	G	5-9	165	October 5, 1980	Brigham Young University Hawaii
Chris Taft	2006	2006	F	6-10	260	March 10, 1985	Pitt
Sid Tanenbaum	1948	1949	G	6-0	160	October 8, 1925	NYU
Dragan Tarlać	2001	2001	C	6-10	260	May 9, 1973	
Roy Tarpley	1987	1995	C-F	6-11	230	November 28, 1964	Michigan
Levern Tart	1968	1971	G-F	6-2	195	June 1, 1942	Bradley
Jae'Sean Tate	2021	2024	F	6-4	230	October 28, 1995	Ohio State
Earl Tatum	1977	1980	G-F	6-5	185	July 26, 1953	Marquette
Jayson Tatum	2018	2024	F	6-8	210	March 3, 1998	Duke
Edy Tavares	2016	2017	C	7-3	260	March 22, 1992	
Anthony Taylor	1989	1989	G	6-4	175	November 30, 1965	Oregon
Brian Taylor	1973	1982	G	6-2	185	June 9, 1951	Princeton
Donell Taylor	2006	2007	G	6-6	180	July 26, 1982	Okaloosa-Walton Community College, UAB
Fatty Taylor	1970	1977	G	6-0	175	March 13, 1946	Dodge City Community College, La Salle
Fred Taylor	1971	1972	G-F	6-5	180	February 5, 1948	University of Texas Rio Grande Valley
Isaiah Taylor	2017	2018	G	6-3	170	July 11, 1994	Texas
Jay Taylor	1990	1990	G	6-3	190	October 3, 1967	Eastern Illinois University
Jeff Taylor	1983	1987	G	6-4	175	January 1, 1960	Texas Tech
Jeff Taylor	2013	2015	F	6-7	225	May 23, 1989	Vanderbilt
Jermaine Taylor	2010	2011	G	6-4	210	December 8, 1986	Central Florida
Johnny Taylor	1998	2000	F	6-9	220	June 4, 1974	Indian Hills Community College, Chattanooga
Leonard Taylor	1990	1990	F	6-8	220	May 2, 1966	California
Maurice Taylor	1998	2007	F	6-9	260	October 30, 1976	Michigan, LSU
Mike Taylor	2009	2009	G	6-2	165	January 21, 1986	Iowa State
Ollie Taylor	1971	1974	G-F	6-2	194	March 7, 1947	San Jacinto College, Houston
Ron Taylor	1970	1972	C	7-1	265	November 21, 1947	USC
Terry Taylor	2022	2024	G-F	6-5	230	September 23, 1999	Austin Peay State University
Tyshawn Taylor	2013	2014	G	6-3	185	April 12, 1990	Kansas
Vince Taylor	1983	1983	G-F	6-5	180	September 11, 1960	Duke
Terry Teagle	1983	1993	F-G	6-5	195	April 10, 1960	Baylor
Jeff Teague	2010	2021	G	6-3	195	June 10, 1988	Wake Forest
Marquis Teague	2013	2018	G	6-2	189	February 28, 1993	Kentucky
Mirza Teletović	2013	2018	F	6-9	242	September 18, 1985	
Sebastian Telfair	2005	2015	G	6-0	165	June 9, 1985	
Collis Temple	1975	1975	F	6-8	220	November 8, 1952	LSU
Garrett Temple	2010	2024	G	6-5	195	May 8, 1986	LSU
Miloš Teodosić	2018	2019	G	6-5	196	March 19, 1987	
Ira Terrell	1977	1979	F-C	6-8	200	June 19, 1954	SMU
Jared Terrell	2019	2019	G	6-3	227	February 10, 1995	Rhode Island
Carlos Terry	1981	1983	G-F	6-5	210	June 22, 1956	Winston-Salem State
Chuck Terry	1973	1977	F	6-6	215	September 27, 1950	Cal State Long Beach
Claude Terry	1973	1978	G-F	6-4	195	January 12, 1950	Stanford
Dalen Terry	2023	2024	G	6-7	195	July 12, 2002	Arizona
Emanuel Terry	2019	2022	F	6-9	220	August 21, 1996	Lincoln Memorial
Jason Terry	2000	2018	G	6-2	185	September 15, 1977	Arizona
Tyrell Terry	2021	2022	G	6-2	160	September 28, 2000	Stanford
Jon Teske	2022	2022	C	7-1	265	May 4, 1997	Michigan
Hasheem Thabeet	2010	2014	C	7-3	263	February 16, 1987	UConn
Tom Thacker	1964	1971	G-F	6-2	170	November 2, 1939	Cincinnati
Floyd Theard	1970	1970	G	6-1	170	September 5, 1944	Kentucky State University
Daniel Theis	2018	2024	C	6-8	245	April 4, 1992	
Reggie Theus	1979	1991	G	6-6	190	October 13, 1957	UNLV
