Player	From	To	Pos	Ht	Wt	Birth Date	Colleges
Dean Wade	2020	2024	F	6-9	228.0	November 20, 1996	Kansas State
Dwyane Wade*	2004	2019	G	6-4	220.0	January 17, 1982	Marquette
Mark Wade	1988	1990	G	5-11	160.0	October 15, 1965	Oklahoma, UNLV
Von Wafer	2006	2012	G	6-5	210.0	July 21, 1985	Florida State
Clint Wager	1950	1950	C-F	6-6	210.0	January 20, 1920	Saint Mary's University of Minnesota
Dajuan Wagner	2003	2007	G	6-2	200.0	February 4, 1983	Memphis
Danny Wagner	1950	1950	G	6-0	170.0	August 1, 1922	Texas
Franz Wagner	2022	2024	G-F	6-10	225.0	August 27, 2001	Michigan
Milt Wagner	1988	1991	G	6-5	185.0	February 20, 1963	Louisville
Moritz Wagner	2019	2024	F-C	6-11	245.0	April 26, 1997	Michigan
Phil Wagner	1969	1969	G	6-2	190.0	December 18, 1945	Georgia Tech
Ish Wainright	2022	2024	F	6-6	250.0	September 12, 1994	Baylor
Dion Waiters	2013	2020	G	6-3	215.0	December 10, 1991	Syracuse
Granville Waiters	1984	1988	C	6-11	225.0	January 8, 1961	Ohio State
Andre Wakefield	1979	1980	G	6-3	175.0	January 11, 1955	Loyola Chicago
Neal Walk	1970	1977	C	6-10	220.0	July 29, 1948	Florida
Andy Walker	1977	1977	G	6-4	190.0	March 25, 1955	Niagara University
Antoine Walker	1997	2008	F	6-9	224.0	August 12, 1976	Kentucky
Brady Walker	1949	1952	F-C	6-6	205.0	March 15, 1921	BYU
Chet Walker*	1963	1975	F-G	6-7	212.0	February 22, 1940	Bradley
Darrell Walker	1984	1993	G	6-4	180.0	March 9, 1961	Arkansas
Foots Walker	1975	1984	G	6-0	184.0	May 21, 1951	Vincennes University, West Georgia
Henry Walker	2009	2015	F	6-6	220.0	October 9, 1987	Kansas State
Horace Walker	1962	1962	F	6-3	210.0	April 17, 1937	Michigan State
Jabari Walker	2023	2024	F	6-9	215.0	July 30, 2002	Colorado
Jarace Walker	2024	2024	F	6-8	240.0	September 4, 2003	Houston
Jimmy Walker	1968	1976	G	6-3	195.0	April 8, 1944	Providence
Kemba Walker	2012	2023	G	6-0	184.0	May 8, 1990	UConn
Kenny Walker	1987	1995	F	6-8	210.0	August 18, 1964	Kentucky
Lonnie Walker IV	2019	2024	G	6-4	204.0	December 14, 1998	Miami (FL)
M.J. Walker	2022	2022	G	6-5	213.0	March 28, 1998	Florida State
Phil Walker	1978	1978	G	6-3	180.0	March 20, 1956	Millersville
Samaki Walker	1997	2006	F	6-9	240.0	February 25, 1976	Louisville
Wally Walker	1977	1984	F	6-7	190.0	July 18, 1954	Virginia
John Wall	2011	2023	G	6-3	210.0	September 6, 1990	Kentucky
Ben Wallace*	1997	2012	F-C	6-9	240.0	September 10, 1974	Virginia Union University
Cason Wallace	2024	2024	G	6-4	193.0	November 7, 2003	Kentucky
Gerald Wallace	2002	2015	F	6-7	215.0	July 23, 1982	Alabama
John Wallace	1997	2004	F	6-8	225.0	February 9, 1974	Syracuse
Rasheed Wallace	1996	2013	F-C	6-11	225.0	September 17, 1974	UNC
Red Wallace	1947	1947	G	6-1	185.0	July 12, 1918	University of Scranton
Tyrone Wallace	2018	2022	G	6-5	198.0	June 10, 1994	California
Dwight Waller	1969	1972	F	6-6	220.0	October 5, 1945	Tennessee State
Jamie Waller	1988	1988	G	6-4	215.0	November 20, 1964	Virginia Union University
Jim Walsh	1958	1958	F	6-4	195.0	August 29, 1930	Stanford
Jordan Walsh	2024	2024	G-F	6-7	205.0	March 3, 2004	Arkansas
Matt Walsh	2006	2006	G-F	6-6	205.0	December 2, 1982	Florida
Rex Walters	1994	2000	G	6-4	190.0	March 12, 1970	Northwestern, Kansas
Paul Walther	1950	1955	G-F	6-2	160.0	March 23, 1927	Tennessee
Isaac Walthour	1954	1954	G	5-11	163.0	August 25, 1930	
Bill Walton*	1975	1987	C-F	6-11	210.0	November 5, 1952	UCLA
Derrick Walton	2018	2022	G	6-0	189.0	April 3, 1995	Michigan
Lloyd Walton	1977	1981	G	6-0	160.0	November 23, 1953	Marquette
Luke Walton	2004	2013	F	6-8	235.0	March 28, 1980	Arizona
Brad Wanamaker	2019	2022	G	6-3	210.0	July 25, 1989	Pitt
Bobby Wanzer*	1949	1957	G	6-0	170.0	June 4, 1921	Seton Hall
